wbsendit__Activity__c,ACTIVITY_DATE,ACTIVITY_REPORT,BOUNCE_REASON,Name,wbsendit__Campaign_ID__c,CITY,COMPOUND_KEY,wbsendit__Contact__c,COUNTRY_CODE,COUNTRY_NAME,CREATED_BY,EMAIL_ADDRESS,IP_ADDRESS,LAST_MODIFIED_BY,LEAD,LOCATION,OWNER,REGION,URL_CLICKED
Opened,2020-01-05T08:09:28.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100191&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 916,CM100191,Houston,CM100191 user916@example.org 2025-04-17 14:05:19.397,A0916,US,United States,,user916@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/916
Unsubscribed,2020-03-04T15:08:16.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100193&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 932,CM100193,Los Angeles,CM100193 user932@example.org 2025-04-17 14:05:19.397,A0932,US,United States,,user932@example.org,,,,,,New York,http://mfbhope24.givesmart.com/932
Opened,2020-02-08T17:05:31.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100194&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 948,CM100194,Houston,CM100194 user948@example.org 2025-04-17 14:05:19.397,A0948,US,United States,,user948@example.org,,,,,,California,http://mfbhope24.givesmart.com/948
Bounced,2020-03-27T07:33:35.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100196&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 964,CM100196,Chicago,CM100196 user964@example.org 2025-04-17 14:05:19.397,A0964,US,United States,,user964@example.org,,,,,,New York,http://mfbhope24.givesmart.com/964
Bounced,2020-03-23T04:35:37.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100198&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 980,CM100198,New York,CM100198 user980@example.org 2025-04-17 14:05:19.397,A0980,US,United States,,user980@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/980
Opened,2020-04-14T11:12:43.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100199&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 996,CM100199,Chicago,CM100199 user996@example.org 2025-04-17 14:05:19.397,A0996,US,United States,,user996@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/996
Unsubscribed,2020-03-27T05:08:58.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100106&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 6,CM100106,New York,CM100106 user6@example.org 2025-04-17 14:05:19.397,A0006,US,United States,,user6@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/6
Clicked,2020-03-27T13:11:12.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100122&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 22,CM100122,Chicago,CM100122 user22@example.org 2025-04-17 14:05:19.397,A0022,US,United States,,user22@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/22
Clicked,2020-04-08T14:46:45.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100138&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 38,CM100138,New York,CM100138 user38@example.org 2025-04-17 14:05:19.397,A0038,US,United States,,user38@example.org,,,,,,New York,http://mfbhope24.givesmart.com/38
,2020-01-01T05:10:38.000Z,,,Campaign 54,CM100154,Los Angeles,CM100154 user54@example.org 2025-04-17 14:05:19.397,A0054,US,United States,,user54@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/54
Unsubscribed,2020-03-23T22:46:27.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100170&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 70,CM100170,Los Angeles,CM100170 user70@example.org 2025-04-17 14:05:19.397,A0070,US,United States,,user70@example.org,,,,,,New York,http://mfbhope24.givesmart.com/70
Unsubscribed,2020-01-04T20:51:51.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100186&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 86,CM100186,,CM100186 user86@example.org 2025-04-17 14:05:19.397,A0086,US,United States,,user86@example.org,,,,,,California,http://mfbhope24.givesmart.com/86
Bounced,2020-02-13T00:34:31.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100110&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 102,CM100110,Los Angeles,CM100110 user102@example.org 2025-04-17 14:05:19.397,A0102,US,United States,,user102@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/102
,2020-02-14T19:23:32.000Z,,,Campaign 118,CM100111,,CM100111 user118@example.org 2025-04-17 14:05:19.397,A0118,US,United States,,user118@example.org,,,,,,California,http://mfbhope24.givesmart.com/118
,2020-04-03T04:45:07.000Z,,,Campaign 134,CM100113,Los Angeles,CM100113 user134@example.org 2025-04-17 14:05:19.397,A0134,US,United States,,user134@example.org,,,,,,,http://mfbhope24.givesmart.com/134
Bounced,2020-01-19T09:47:11.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100115&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 150,CM100115,Houston,CM100115 user150@example.org 2025-04-17 14:05:19.397,A0150,US,United States,,user150@example.org,,,,,,California,http://mfbhope24.givesmart.com/150
,2020-01-25T04:40:16.000Z,,,Campaign 166,CM100116,Houston,CM100116 user166@example.org 2025-04-17 14:05:19.397,A0166,US,United States,,user166@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/166
Opened,2020-02-08T20:43:30.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100119&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 198,CM100119,Los Angeles,CM100119 user198@example.org 2025-04-17 14:05:19.397,A0198,US,United States,,user198@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/198
Unsubscribed,2020-03-06T04:27:22.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100121&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 214,CM100121,Phoenix,CM100121 user214@example.org 2025-04-17 14:05:19.397,A0214,US,United States,,user214@example.org,,,,,,New York,http://mfbhope24.givesmart.com/214
Unsubscribed,2020-01-18T08:44:33.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100123&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 230,CM100123,Phoenix,CM100123 user230@example.org 2025-04-17 14:05:19.397,A0230,US,United States,,user230@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/230
Opened,2020-02-28T08:38:16.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100124&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 246,CM100124,New York,CM100124 user246@example.org 2025-04-17 14:05:19.397,A0246,US,United States,,user246@example.org,,,,,,,http://mfbhope24.givesmart.com/246
Opened,2020-03-07T20:40:29.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100129&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 294,CM100129,,CM100129 user294@example.org 2025-04-17 14:05:19.397,A0294,US,United States,,user294@example.org,,,,,,,http://mfbhope24.givesmart.com/294
,2020-02-05T05:35:22.000Z,,,Campaign 310,CM100131,,CM100131 user310@example.org 2025-04-17 14:05:19.397,A0310,US,United States,,user310@example.org,,,,,,New York,http://mfbhope24.givesmart.com/310
,2020-01-23T06:54:21.000Z,,,Campaign 326,CM100132,Los Angeles,CM100132 user326@example.org 2025-04-17 14:05:19.397,A0326,US,United States,,user326@example.org,,,,,,,http://mfbhope24.givesmart.com/326
Clicked,2020-02-09T03:14:15.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100134&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 342,CM100134,,CM100134 user342@example.org 2025-04-17 14:05:19.397,A0342,US,United States,,user342@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/342
,2020-04-07T00:56:19.000Z,,,Campaign 358,CM100135,Houston,CM100135 user358@example.org 2025-04-17 14:05:19.397,A0358,US,United States,,user358@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/358
,2020-03-31T07:16:35.000Z,,,Campaign 374,CM100137,Los Angeles,CM100137 user374@example.org 2025-04-17 14:05:19.397,A0374,US,United States,,user374@example.org,,,,,,,http://mfbhope24.givesmart.com/374
Opened,2020-02-21T21:32:17.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100139&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 390,CM100139,Chicago,CM100139 user390@example.org 2025-04-17 14:05:19.397,A0390,US,United States,,user390@example.org,,,,,,California,http://mfbhope24.givesmart.com/390
,2020-03-03T11:11:19.000Z,,,Campaign 406,CM100140,Los Angeles,CM100140 user406@example.org 2025-04-17 14:05:19.397,A0406,US,United States,,user406@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/406
Unsubscribed,2020-04-24T10:45:55.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100142&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 422,CM100142,Chicago,CM100142 user422@example.org 2025-04-17 14:05:19.397,A0422,US,United States,,user422@example.org,,,,,,New York,http://mfbhope24.givesmart.com/422
Unsubscribed,2020-03-19T13:06:34.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100143&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 438,CM100143,,CM100143 user438@example.org 2025-04-17 14:05:19.397,A0438,US,United States,,user438@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/438
Unsubscribed,2020-01-01T05:19:36.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100145&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 454,CM100145,Los Angeles,CM100145 user454@example.org 2025-04-17 14:05:19.397,A0454,US,United States,,user454@example.org,,,,,,New York,http://mfbhope24.givesmart.com/454
Unsubscribed,2020-02-02T16:50:07.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100147&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 470,CM100147,Los Angeles,CM100147 user470@example.org 2025-04-17 14:05:19.397,A0470,US,United States,,user470@example.org,,,,,,,http://mfbhope24.givesmart.com/470
Bounced,2020-02-20T15:33:17.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100153&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 539,CM100153,Houston,CM100153 user539@example.org 2025-04-17 14:05:19.397,A0539,US,United States,,user539@example.org,,,,,,New York,http://mfbhope24.givesmart.com/539
Clicked,2020-01-19T09:19:03.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100155&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 555,CM100155,Houston,CM100155 user555@example.org 2025-04-17 14:05:19.397,A0555,US,United States,,user555@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/555
Clicked,2020-01-18T20:54:44.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100157&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 571,CM100157,New York,CM100157 user571@example.org 2025-04-17 14:05:19.397,A0571,US,United States,,user571@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/571
Clicked,2020-01-02T17:59:59.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100158&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 587,CM100158,Phoenix,CM100158 user587@example.org 2025-04-17 14:05:19.397,A0587,US,United States,,user587@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/587
Opened,2020-02-11T04:39:28.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100161&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 619,CM100161,Los Angeles,CM100161 user619@example.org 2025-04-17 14:05:19.397,A0619,US,United States,,user619@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/619
Bounced,2020-01-10T03:50:09.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100163&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 635,CM100163,Chicago,CM100163 user635@example.org 2025-04-17 14:05:19.397,A0635,US,United States,,user635@example.org,,,,,,California,http://mfbhope24.givesmart.com/635
Opened,2020-04-20T19:29:21.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100188&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 884,CM100188,New York,CM100188 user884@example.org 2025-04-17 14:05:19.397,A0884,US,United States,,user884@example.org,,,,,,,http://mfbhope24.givesmart.com/884
Opened,2020-01-18T09:49:50.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100160&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 603,CM100160,Chicago,CM100160 user603@example.org 2025-04-17 14:05:19.397,A0603,US,United States,,user603@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/603
,2020-03-10T15:58:49.000Z,,,Campaign 182,CM100118,Phoenix,CM100118 user182@example.org 2025-04-17 14:05:19.397,A0182,US,United States,,user182@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/182
Clicked,2020-01-18T22:32:07.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100165&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 651,CM100165,,CM100165 user651@example.org 2025-04-17 14:05:19.397,A0651,US,United States,,user651@example.org,,,,,,,http://mfbhope24.givesmart.com/651
Unsubscribed,2020-03-25T14:59:24.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100166&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 667,CM100166,Phoenix,CM100166 user667@example.org 2025-04-17 14:05:19.397,A0667,US,United States,,user667@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/667
Bounced,2020-01-10T03:45:21.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100168&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 683,CM100168,Chicago,CM100168 user683@example.org 2025-04-17 14:05:19.397,A0683,US,United States,,user683@example.org,,,,,,New York,http://mfbhope24.givesmart.com/683
,2020-01-14T08:20:44.000Z,,,Campaign 699,CM100169,,CM100169 user699@example.org 2025-04-17 14:05:19.397,A0699,US,United States,,user699@example.org,,,,,,,http://mfbhope24.givesmart.com/699
Opened,2020-03-29T02:31:26.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100173&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 731,CM100173,Chicago,CM100173 user731@example.org 2025-04-17 14:05:19.397,A0731,US,United States,,user731@example.org,,,,,,California,http://mfbhope24.givesmart.com/731
,2020-03-29T14:07:14.000Z,,,Campaign 747,CM100174,Phoenix,CM100174 user747@example.org 2025-04-17 14:05:19.397,A0747,US,United States,,user747@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/747
Clicked,2020-04-05T18:51:25.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100176&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 763,CM100176,New York,CM100176 user763@example.org 2025-04-17 14:05:19.397,A0763,US,United States,,user763@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/763
Unsubscribed,2020-03-04T08:40:52.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100177&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 779,CM100177,New York,CM100177 user779@example.org 2025-04-17 14:05:19.397,A0779,US,United States,,user779@example.org,,,,,,California,http://mfbhope24.givesmart.com/779
Clicked,2020-03-17T22:06:35.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100181&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 811,CM100181,Phoenix,CM100181 user811@example.org 2025-04-17 14:05:19.397,A0811,US,United States,,user811@example.org,,,,,,,http://mfbhope24.givesmart.com/811
Clicked,2020-04-22T00:41:56.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100189&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 891,CM100189,New York,CM100189 user891@example.org 2025-04-17 14:05:19.397,A0891,US,United States,,user891@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/891
Bounced,2020-04-19T09:50:35.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100190&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 907,CM100190,Los Angeles,CM100190 user907@example.org 2025-04-17 14:05:19.397,A0907,US,United States,,user907@example.org,,,,,,New York,http://mfbhope24.givesmart.com/907
Unsubscribed,2020-02-10T06:19:11.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100192&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 923,CM100192,Phoenix,CM100192 user923@example.org 2025-04-17 14:05:19.397,A0923,US,United States,,user923@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/923
Clicked,2020-01-09T07:12:31.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100193&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 939,CM100193,,CM100193 user939@example.org 2025-04-17 14:05:19.397,A0939,US,United States,,user939@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/939
Clicked,2020-02-13T15:17:27.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100195&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 955,CM100195,,CM100195 user955@example.org 2025-04-17 14:05:19.397,A0955,US,United States,,user955@example.org,,,,,,New York,http://mfbhope24.givesmart.com/955
Unsubscribed,2020-04-25T01:30:23.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100198&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 987,CM100198,Chicago,CM100198 user987@example.org 2025-04-17 14:05:19.397,A0987,US,United States,,user987@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/987
,2020-01-14T02:07:10.000Z,,,Campaign 45,CM100145,Phoenix,CM100145 user45@example.org 2025-04-17 14:05:19.397,A0045,US,United States,,user45@example.org,,,,,,New York,http://mfbhope24.givesmart.com/45
Opened,2020-02-15T10:13:00.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100177&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 77,CM100177,Houston,CM100177 user77@example.org 2025-04-17 14:05:19.397,A0077,US,United States,,user77@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/77
Bounced,2020-02-19T06:06:10.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100193&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 93,CM100193,,CM100193 user93@example.org 2025-04-17 14:05:19.397,A0093,US,United States,,user93@example.org,,,,,,California,http://mfbhope24.givesmart.com/93
Clicked,2020-01-29T04:13:55.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100112&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 125,CM100112,Chicago,CM100112 user125@example.org 2025-04-17 14:05:19.397,A0125,US,United States,,user125@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/125
Bounced,2020-03-03T04:56:52.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100114&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 141,CM100114,Phoenix,CM100114 user141@example.org 2025-04-17 14:05:19.397,A0141,US,United States,,user141@example.org,,,,,,New York,http://mfbhope24.givesmart.com/141
Opened,2020-01-25T14:24:52.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100115&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 157,CM100115,Chicago,CM100115 user157@example.org 2025-04-17 14:05:19.397,A0157,US,United States,,user157@example.org,,,,,,New York,http://mfbhope24.givesmart.com/157
Clicked,2020-02-08T15:08:17.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100117&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 173,CM100117,,CM100117 user173@example.org 2025-04-17 14:05:19.397,A0173,US,United States,,user173@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/173
Opened,2020-01-02T22:26:28.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100118&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 189,CM100118,,CM100118 user189@example.org 2025-04-17 14:05:19.397,A0189,US,United States,,user189@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/189
,2020-01-26T06:53:09.000Z,,,Campaign 205,CM100120,New York,CM100120 user205@example.org 2025-04-17 14:05:19.397,A0205,US,United States,,user205@example.org,,,,,,New York,http://mfbhope24.givesmart.com/205
Clicked,2020-03-19T17:33:28.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100122&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 221,CM100122,,CM100122 user221@example.org 2025-04-17 14:05:19.397,A0221,US,United States,,user221@example.org,,,,,,California,http://mfbhope24.givesmart.com/221
Clicked,2020-02-26T04:33:56.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100123&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 237,CM100123,Los Angeles,CM100123 user237@example.org 2025-04-17 14:05:19.397,A0237,US,United States,,user237@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/237
Bounced,2020-01-18T00:26:31.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100125&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 253,CM100125,Los Angeles,CM100125 user253@example.org 2025-04-17 14:05:19.397,A0253,US,United States,,user253@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/253
Opened,2020-01-02T13:43:48.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100126&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 269,CM100126,Los Angeles,CM100126 user269@example.org 2025-04-17 14:05:19.397,A0269,US,United States,,user269@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/269
,2020-04-20T18:56:09.000Z,,,Campaign 285,CM100128,,CM100128 user285@example.org 2025-04-17 14:05:19.397,A0285,US,United States,,user285@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/285
Unsubscribed,2020-01-08T21:29:19.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100130&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 301,CM100130,Houston,CM100130 user301@example.org 2025-04-17 14:05:19.397,A0301,US,United States,,user301@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/301
Opened,2020-04-05T00:44:05.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100131&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 317,CM100131,Chicago,CM100131 user317@example.org 2025-04-17 14:05:19.397,A0317,US,United States,,user317@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/317
Bounced,2020-02-29T20:01:29.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100133&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 333,CM100133,New York,CM100133 user333@example.org 2025-04-17 14:05:19.397,A0333,US,United States,,user333@example.org,,,,,,New York,http://mfbhope24.givesmart.com/333
Clicked,2020-03-17T10:05:45.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100136&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 365,CM100136,Phoenix,CM100136 user365@example.org 2025-04-17 14:05:19.397,A0365,US,United States,,user365@example.org,,,,,,California,http://mfbhope24.givesmart.com/365
Unsubscribed,2020-03-15T15:35:00.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100150&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 502,CM100150,Houston,CM100150 user502@example.org 2025-04-17 14:05:19.397,A0502,US,United States,,user502@example.org,,,,,,California,http://mfbhope24.givesmart.com/502
Unsubscribed,2020-01-21T01:47:05.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100151&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 518,CM100151,,CM100151 user518@example.org 2025-04-17 14:05:19.397,A0518,US,United States,,user518@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/518
Opened,2020-02-13T06:57:01.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100153&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 534,CM100153,,CM100153 user534@example.org 2025-04-17 14:05:19.397,A0534,US,United States,,user534@example.org,,,,,,,http://mfbhope24.givesmart.com/534
Opened,2020-03-05T22:16:01.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100155&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 550,CM100155,New York,CM100155 user550@example.org 2025-04-17 14:05:19.397,A0550,US,United States,,user550@example.org,,,,,,,http://mfbhope24.givesmart.com/550
Bounced,2020-04-07T02:53:00.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100156&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 566,CM100156,Los Angeles,CM100156 user566@example.org 2025-04-17 14:05:19.397,A0566,US,United States,,user566@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/566
Bounced,2020-01-19T14:43:17.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100158&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 582,CM100158,,CM100158 user582@example.org 2025-04-17 14:05:19.397,A0582,US,United States,,user582@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/582
,2020-01-06T06:52:52.000Z,,,Campaign 598,CM100159,Phoenix,CM100159 user598@example.org 2025-04-17 14:05:19.397,A0598,US,United States,,user598@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/598
Clicked,2020-04-22T09:05:00.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100161&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 614,CM100161,Phoenix,CM100161 user614@example.org 2025-04-17 14:05:19.397,A0614,US,United States,,user614@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/614
,2020-02-05T02:30:17.000Z,,,Campaign 630,CM100163,Los Angeles,CM100163 user630@example.org 2025-04-17 14:05:19.397,A0630,US,United States,,user630@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/630
,2020-04-12T01:46:54.000Z,,,Campaign 646,CM100164,Phoenix,CM100164 user646@example.org 2025-04-17 14:05:19.397,A0646,US,United States,,user646@example.org,,,,,,New York,http://mfbhope24.givesmart.com/646
,2020-04-25T15:31:08.000Z,,,Campaign 662,CM100166,New York,CM100166 user662@example.org 2025-04-17 14:05:19.397,A0662,US,United States,,user662@example.org,,,,,,California,http://mfbhope24.givesmart.com/662
